fecha,hora,cantidad,otro1,otro2,otro3,otro4
16/08/2017,03:35:00.00,2567789.98571,2.56779,22.05830,98.80913,1414.21360
16/08/2017,06:40:00.00,2185933.16631,2.18593,50.70592,83.05467,2236.06800
17/08/2017,05:45:00.00,11116950.56579,11.11695,50.89171,100.20553,2236.06800
18/08/2017,03:20:00.00,10171118.83983,10.17112,6.12536,80.27649,2236.06800
18/08/2017,06:25:00.00,12032312.28152,12.03231,32.76978,82.27591,1000.00000
18/08/2017,18:40:00.00,11105793.55907,11.10579,21.90445,98.92898,1414.21360
19/08/2017,05:30:00.00,22315545.43279,22.31555,62.36718,101.11037,4123.10560
20/08/2017,03:10:00.00,25353429.70098,25.35343,32.20312,82.33405,2236.06800
20/08/2017,06:15:00.00,5859835.64869,5.85984,6.83403,80.84678,1414.21360
21/08/2017,03:55:00.00,1900684.10988,1.90068,51.24562,100.51510,2000.00000
21/08/2017,14:45:00.00,8960354.23410,8.96035,42.92259,99.83969,1000.00000
22/08/2017,06:00:00.00,5407015.27997,5.40702,21.46975,98.90746,1414.21360
23/08/2017,06:45:00.00,1805100.50587,1.80510,57.11828,83.44193,2236.06800
